city_name,latitude_city,longitude_city,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code,temperature_category,precipitation_category,wind_category,forecast_day,month,day_of_week
Inezgane,30.3658,-9.5381,2026-09-21,30.4,20.3,0.0,0,10.5,28.8,3,High,None,Low,21,9,Monday
Inezgane,30.3658,-9.5381,2026-09-22,30.2,20.9,0.0,0,11.7,35.6,45,High,None,Low,22,9,Tuesday
Inezgane,30.3658,-9.5381,2026-09-23,35.9,20.2,0.0,0,13.2,28.4,45,Very High,None,Low,23,9,Wednesday
Inezgane,30.3658,-9.5381,2026-09-24,34.3,18.5,0.0,0,12.9,26.6,45,High,None,Low,24,9,Thursday
Larache,35.1833,-6.15,2026-09-18,27.7,14.4,0.0,0,15.9,29.9,45,Normal,None,Low,18,9,Friday
Larache,35.1833,-6.15,2026-09-19,35.1,18.6,0.0,0,21.1,37.8,1,Very High,None,Moderate,19,9,Saturday
Larache,35.1833,-6.15,2026-09-20,34.5,23.0,0.0,0,15.6,28.8,1,High,None,Low,20,9,Sunday
Larache,35.1833,-6.15,2026-09-21,33.0,22.5,0.0,0,15.0,27.7,1,High,None,Low,21,9,Monday
Larache,35.1833,-6.15,2026-09-22,31.8,18.8,0.0,0,17.5,32.8,0,High,None,Low,22,9,Tuesday
Larache,35.1833,-6.15,2026-09-23,31.9,18.1,0.0,0,16.8,26.6,1,High,None,Low,23,9,Wednesday
Larache,35.1833,-6.15,2026-09-24,30.7,16.3,0.0,0,14.6,26.6,0,High,None,Low,24,9,Thursday
Al Khmissat,33.81,-6.06,2026-09-18,30.0,15.4,0.0,0,17.3,36.4,3,High,None,Low,18,9,Friday
Al Khmissat,33.81,-6.06,2026-09-19,35.1,18.4,0.0,0,14.5,30.2,2,Very High,None,Low,19,9,Saturday
Al Khmissat,33.81,-6.06,2026-09-20,36.1,21.2,0.0,0,15.4,31.7,2,Very High,None,Low,20,9,Sunday
Al Khmissat,33.81,-6.06,2026-09-21,35.9,20.8,0.0,0,14.5,30.2,0,Very High,None,Low,21,9,Monday
Al Khmissat,33.81,-6.06,2026-09-22,34.2,19.6,0.0,0,14.7,32.0,0,High,None,Low,22,9,Tuesday
Al Khmissat,33.81,-6.06,2026-09-23,34.5,17.7,0.0,0,15.4,33.5,1,High,None,Low,23,9,Wednesday
Al Khmissat,33.81,-6.06,2026-09-24,35.2,16.3,0.0,0,16.9,34.2,0,Very High,None,Low,24,9,Thursday
Guelmim,28.9833,-10.0667,2026-09-18,28.1,17.2,0.0,0,23.7,41.8,1,Normal,None,Moderate,18,9,Friday
Guelmim,28.9833,-10.0667,2026-09-19,30.1,17.6,0.0,0,21.4,38.5,3,High,None,Moderate,19,9,Saturday
Guelmim,28.9833,-10.0667,2026-09-20,36.9,18.7,0.0,0,18.7,33.5,1,Very High,None,Low,20,9,Sunday
