city_name,latitude_city,longitude_city,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code,temperature_category,precipitation_category,wind_category,forecast_day,month,day_of_week,rain_risk,wind_risk,temperature_risk,probability_risk,risk_score,risk_level
Ait Melloul,30.3342,-9.4972,2026-09-24,34.3,18.4,0.0,0,12.9,26.6,45,High,None,Low,24,9,Thursday,0,0,30,0,6.0,Faible
Béni Mellal,32.3394,-6.3608,2026-09-18,31.4,18.6,0.0,0,9.0,28.8,3,High,None,Low,18,9,Friday,0,0,30,0,6.0,Faible
Béni Mellal,32.3394,-6.3608,2026-09-19,35.4,22.7,0.0,13,14.1,31.3,3,Very High,None,Low,19,9,Saturday,0,0,60,0,12.0,Faible
Béni Mellal,32.3394,-6.3608,2026-09-20,35.7,24.4,0.2,5,18.7,43.9,3,Very High,Low,Low,20,9,Sunday,20,0,60,0,19.0,Faible
Béni Mellal,32.3394,-6.3608,2026-09-21,35.3,24.2,0.0,2,18.7,40.0,3,Very High,None,Low,21,9,Monday,0,0,60,0,12.0,Faible
Béni Mellal,32.3394,-6.3608,2026-09-22,34.2,24.0,0.0,0,17.6,37.8,3,High,None,Low,22,9,Tuesday,0,0,30,0,6.0,Faible
Béni Mellal,32.3394,-6.3608,2026-09-23,36.0,23.3,0.0,0,16.5,33.8,0,Very High,None,Low,23,9,Wednesday,0,0,60,0,12.0,Faible
Béni Mellal,32.3394,-6.3608,2026-09-24,36.3,25.3,0.0,0,13.2,33.8,0,Very High,None,Low,24,9,Thursday,0,0,60,0,12.0,Faible
Bouskoura,33.4489,-7.6486,2026-09-18,26.6,17.1,0.0,0,15.6,38.2,3,Normal,None,Low,18,9,Friday,0,0,0,0,0.0,Faible
Bouskoura,33.4489,-7.6486,2026-09-19,30.0,18.6,0.0,0,15.0,37.4,45,High,None,Low,19,9,Saturday,0,0,0,0,0.0,Faible
Bouskoura,33.4489,-7.6486,2026-09-20,33.6,20.0,0.0,0,14.8,37.1,2,High,None,Low,20,9,Sunday,0,0,30,0,6.0,Faible
Bouskoura,33.4489,-7.6486,2026-09-21,33.0,21.2,0.0,0,14.7,37.8,1,High,None,Low,21,9,Monday,0,0,30,0,6.0,Faible
Bouskoura,33.4489,-7.6486,2026-09-22,32.5,20.2,0.0,0,13.4,33.8,45,High,None,Low,22,9,Tuesday,0,0,30,0,6.0,Faible
Bouskoura,33.4489,-7.6486,2026-09-23,28.5,18.5,0.0,0,12.6,32.8,45,Normal,None,Low,23,9,Wednesday,0,0,0,0,0.0,Faible
Bouskoura,33.4489,-7.6486,2026-09-24,28.5,18.9,0.0,0,11.0,33.5,45,Normal,None,Low,24,9,Thursday,0,0,0,0,0.0,Faible
Tiznit,29.7,-9.7269,2026-09-18,24.9,18.8,0.0,0,19.9,33.8,2,Normal,None,Low,18,9,Friday,0,0,0,0,0.0,Faible
Tiznit,29.7,-9.7269,2026-09-19,27.2,19.0,0.0,0,17.5,29.5,1,Normal,None,Low,19,9,Saturday,0,0,0,0,0.0,Faible
Tiznit,29.7,-9.7269,2026-09-20,29.0,20.1,0.0,0,11.0,20.5,3,Normal,None,Low,20,9,Sunday,0,0,0,0,0.0,Faible
Tiznit,29.7,-9.7269,2026-09-21,33.9,21.9,0.0,0,15.3,25.9,2,High,None,Low,21,9,Monday,0,0,30,0,6.0,Faible
Tiznit,29.7,-9.7269,2026-09-22,32.8,23.4,0.0,0,16.7,29.2,0,High,None,Low,22,9,Tuesday,0,0,30,0,6.0,Faible
Tiznit,29.7,-9.7269,2026-09-23,28.7,19.8,0.0,0,15.0,26.3,1,Normal,None,Low,23,9,Wednesday,0,0,0,0,0.0,Faible
Tiznit,29.7,-9.7269,2026-09-24,27.4,17.8,0.0,0,14.4,23.0,45,Normal,None,Low,24,9,Thursday,0,0,0,0,0.0,Faible
Mohammedia,33.6833,-7.3833,2026-09-18,24.5,17.1,0.0,0,13.9,35.3,3,Normal,None,Low,18,9,Friday,0,0,0,0,0.0,Faible
Mohammedia,33.6833,-7.3833,2026-09-19,26.9,17.7,0.0,0,12.6,31.0,45,Normal,None,Low,19,9,Saturday,0,0,0,0,0.0,Faible
Mohammedia,33.6833,-7.3833,2026-09-20,28.5,19.8,0.0,0,11.8,28.8,2,Normal,None,Low,20,9,Sunday,0,0,0,0,0.0,Faible
Mohammedia,33.6833,-7.3833,2026-09-21,27.8,20.5,0.0,0,11.8,29.9,1,Normal,None,Low,21,9,Monday,0,0,0,0,0.0,Faible
Mohammedia,33.6833,-7.3833,2026-09-22,27.9,20.0,0.0,0,11.5,28.1,45,Normal,None,Low,22,9,Tuesday,0,0,0,0,0.0,Faible
Mohammedia,33.6833,-7.3833,2026-09-23,30.5,19.4,0.0,0,16.9,31.0,45,High,None,Low,23,9,Wednesday,0,0,30,0,6.0,Faible
Mohammedia,33.6833,-7.3833,2026-09-24,30.9,18.5,0.0,0,15.8,32.8,45,High,None,Low,24,9,Thursday,0,0,30,0,6.0,Faible
Kouribga,32.88,-6.9,2026-09-18,29.7,15.0,0.0,0,19.6,37.4,3,Normal,None,Low,18,9,Friday,0,0,0,0,0.0,Faible
Kouribga,32.88,-6.9,2026-09-19,34.2,18.5,0.0,0,20.7,42.8,2,High,None,Moderate,19,9,Saturday,0,25,30,0,13.5,Faible
Kouribga,32.88,-6.9,2026-09-20,34.4,21.5,0.4,15,21.4,41.0,80,High,Low,Moderate,20,9,Sunday,20,25,30,0,20.5,Faible
Kouribga,32.88,-6.9,2026-09-21,33.4,21.2,0.6,0,17.5,40.0,2,High,Low,Low,21,9,Monday,20,0,30,0,13.0,Faible
Kouribga,32.88,-6.9,2026-09-22,33.7,21.1,0.0,0,17.1,32.0,2,High,None,Low,22,9,Tuesday,0,0,30,0,6.0,Faible
Kouribga,32.88,-6.9,2026-09-23,34.0,17.7,0.0,0,18.7,40.7,1,High,None,Low,23,9,Wednesday,0,0,30,0,6.0,Faible
Kouribga,32.88,-6.9,2026-09-24,34.0,17.6,0.0,0,15.5,40.3,0,High,None,Low,24,9,Thursday,0,0,30,0,6.0,Faible
Settat,33.0023,-7.6198,2026-09-18,29.4,15.9,0.0,0,18.5,39.2,3,Normal,None,Low,18,9,Friday,0,0,0,0,0.0,Faible
Settat,33.0023,-7.6198,2026-09-19,34.1,17.6,0.0,0,16.3,34.9,2,High,None,Low,19,9,Saturday,0,0,30,0,6.0,Faible
Settat,33.0023,-7.6198,2026-09-20,36.0,20.6,0.0,0,18.2,38.2,2,Very High,None,Low,20,9,Sunday,0,0,60,0,12.0,Faible
